,DS,BS,MODEL,TRAIN_SPE,VALID_SPE
0,CIFAR10,128,WRN16-4,0.00042727403342723846,0.00011444860137999058
1,CIFAR10,128,DATA PROCESSING,0.00015259801875799894,3.8149417378008366e-05
2,64x64x3,256,VGG16,0.0005875059869140387,0.00019074731972068548
3,MNIST,256,ResNet-56,0.0002746760146692395,7.629953324794769e-05
4,CIFAR10,256,VGG11,0.000224290881305933,5.340960342437029e-05
5,CIFAR10,256,WRN16-8,0.0007779884617775679,0.00019837706349790096
6,MNIST,64,VGG11,0.00018311780877411366,6.103899795562029e-05
7,CIFAR10,32,VGG16,0.0005115663248395163,0.00014726959523700533
8,64x64x3,128,ResNet-56,0.0010463590733706951,0.0002820130903273821
9,CIFAR10,32,ResNet-56,0.0006665865343714518,0.00017827288025901432
10,MNIST,32,WRN16-8,0.0007518514517753844,0.00023253025516631112
11,MNIST,32,DATA PROCESSING,8.526101471885802e-05,5.425690185456049e-05
12,MNIST,256,DATA PROCESSING,5.340925417840481e-05,1.525948755443096e-05
13,64x64x3,32,ResNet-20,0.0004960687624083625,0.00017826885931075564
14,CIFAR10,64,ResNet-56,0.0005188370123505592,0.00015259790234267712
15,64x64x3,64,ResNet-56,0.0011444836854934692,0.0003357111709192395
16,CIFAR10,256,ResNet-56,0.0004045494133606553,9.155867155641317e-05
17,MNIST,32,WRN16-4,0.00037979925908739607,0.0001317668292257521
18,MNIST,128,VGG16,0.00020601123105734587,6.103911437094212e-05
19,64x64x3,64,DATA PROCESSING,5.340960342437029e-05,6.103911437094212e-05
20,CIFAR10,32,WRN16-8,0.0009688796505095467,0.00027204257628274343
21,64x64x3,256,WRN16-8,0.002639943500980735,0.0006943250773474574
22,CIFAR10,128,ResNet-20,0.0002517867833375931,6.103911437094212e-05
23,MNIST,256,VGG16,0.00017549225594848394,4.57793939858675e-05
24,64x64x3,32,ResNet-56,0.00124791595670912,0.00034879112527483986
25,MNIST,128,ResNet-56,0.00032045505940914154,9.918445721268654e-05
26,64x64x3,32,VGG11,0.00045730918645858765,0.00018602030144797431
27,MNIST,128,ResNet-20,0.0001449680421501398,4.57793939858675e-05
28,MNIST,128,WRN16-4,0.0002670504618436098,7.629930041730404e-05
29,MNIST,128,DATA PROCESSING,5.3409370593726635e-05,2.2889231331646442e-05
30,CIFAR10,32,VGG11,0.0003642975574447995,0.00011626477279360332
31,CIFAR10,128,WRN16-8,0.0007636741502210498,0.00021293864119797945
32,64x64x3,256,WRN16-4,0.0011010185116901994,0.0003204556414857507
33,CIFAR10,64,WRN16-4,0.00045016768854111433,0.00012207834515720606
34,CIFAR10,256,DATA PROCESSING,0.0001525974366813898,3.051955718547106e-05
35,64x64x3,64,WRN16-4,0.0010914074955508113,0.0003509784583002329
36,64x64x3,32,DATA PROCESSING,7.750969084482344e-05,7.751004563437568e-05
37,64x64x3,32,WRN16-8,0.0026043373204412915,0.0007983533635972038
38,CIFAR10,32,ResNet-20,0.0003720484082660978,0.00012401562361490158
39,64x64x3,32,VGG16,0.000806108590156313,0.0002712809613772801
40,64x64x3,128,VGG11,0.0003206467954441905,0.00012207473628222942
41,MNIST,256,WRN16-4,0.00024416076485067606,6.866897456347942e-05
42,64x64x3,64,WRN16-8,0.0024797156220301986,0.000732367392629385
43,MNIST,256,WRN16-8,0.0005417224019765854,0.0001526022097095847
44,CIFAR10,64,WRN16-8,0.0008011432364583015,0.00022889289539307356
45,MNIST,128,WRN16-8,0.0005798720521852374,0.00016785762272775173
46,MNIST,32,ResNet-56,0.0006045783086428566,0.0002015260240388295
47,MNIST,64,DATA PROCESSING,6.10394636169076e-05,3.051944077014923e-05
48,CIFAR10,64,VGG16,0.00040438876021653414,0.00011444359552115202
49,MNIST,32,VGG16,0.00039530545473098755,0.00012401183919301108
50,64x64x3,64,VGG16,0.000671434449031949,0.00022889301180839539
51,CIFAR10,32,DATA PROCESSING,0.0001860236128171285,6.200798920222692e-05
52,64x64x3,256,ResNet-20,0.000434738933108747,0.00016804272308945656
53,64x64x3,128,WRN16-8,0.002495426801033318,0.0007020130287855864
54,CIFAR10,64,DATA PROCESSING,0.00016022752970457077,4.57793939858675e-05
55,CIFAR10,128,VGG11,0.0002517873654142022,6.866431795060635e-05
56,CIFAR10,128,VGG16,0.00034334941301494837,9.155494626611471e-05
57,CIFAR10,256,ResNet-20,0.0002365263644605875,5.340913776308298e-05
58,64x64x3,256,VGG11,0.00029756512958556414,0.0001145882997661829
59,MNIST,32,VGG11,0.0002712849823255388,9.301198380334037e-05
60,MNIST,256,ResNet-20,0.00012970867101103067,3.814883530139923e-05
61,CIFAR10,256,VGG16,0.0002983134472742677,7.62952258810401e-05
62,MNIST,256,VGG11,0.00011445290874689817,3.051955718547106e-05
63,CIFAR10,256,WRN16-4,0.00040438026189804077,9.938643779605627e-05
64,64x64x3,128,WRN16-4,0.0010450308909639716,0.0003207154804840684
65,64x64x3,32,WRN16-4,0.00120916087476034,0.00037204663431833663
66,MNIST,64,WRN16-8,0.0006409152410924435,0.00019074324518442154
67,CIFAR10,128,ResNet-56,0.0004349035443738103,0.00010681466665118933
68,64x64x3,256,DATA PROCESSING,4.577892832458019e-05,4.5779626816511154e-05
69,64x64x3,128,VGG16,0.0005951144266873598,0.00019835378043353558
70,MNIST,32,ResNet-20,0.0002635341315042405,0.00010851415849867321
71,MNIST,128,VGG11,0.00013733806554228067,4.577892832458019e-05
72,64x64x3,256,ResNet-56,0.0011673748958855867,0.00038900075014680624
73,MNIST,64,WRN16-4,0.00030520011205226183,9.918422438204288e-05
74,CIFAR10,64,VGG11,0.0002899364335462451,8.392857853323221e-05
75,CIFAR10,64,ResNet-20,0.0002823061076924205,8.392892777919769e-05
76,MNIST,64,VGG16,0.00028230645693838596,8.392834570258856e-05
77,64x64x3,128,DATA PROCESSING,4.577927757054567e-05,4.5779626816511154e-05
78,MNIST,64,ResNet-56,0.00037386943586170673,0.00011444382835179567
79,CIFAR10,32,WRN16-4,0.0005115665613658844,0.00016277082382686555
80,MNIST,64,ResNet-20,0.0001683708978816867,6.09405105933547e-05
81,64x64x3,64,ResNet-20,0.0004425380611792207,0.00016022368799895048
82,64x64x3,64,VGG11,0.0003662394592538476,0.00014496420044451952
83,64x64x3,128,ResNet-20,0.0004045808454975486,0.0001297122798860073
